P31946	ENSG00000166913.13
A0A8I5KZ28	ENSG00000107669.19
A0A8I5QJE6	ENSG00000197535.16
A0A8Q3WKR6	ENSG00000159189.13
A0A8Q3WLL2	ENSG00000289716.1
A0A8Q3WLY9	ENSG00000163975.14
A0A7P0T9X8	ENSG00000128298.18
A0A7P0T9Y0	ENSG00000159063.14
A0A804EMX3	ENSG00000171680.23
A0A6Q8PGB4	ENSG00000112367.12
A0A494BZV7	ENSG00000091656.19
A0A494C0A1	ENSG00000286015.1
A0A494C0G8	ENSG00000151466.12
A0A0A0MRR7	ENSG00000124562.10
F5H1U3	ENSG00000004478.8
H0YBK9	ENSG00000105339.11
H0YIY4	ENSG00000171723.16
A0A0A0MSJ7	ENSG00000176083.18
C9JSX1	ENSG00000144401.14
F5GWS4	ENSG00000010219.14
F5H6N2	ENSG00000072518.23
F5H8E3	ENSG00000139187.10
U3KPW1	ENSG00000162873.15
A0A0A0MSV8	ENSG00000159069.14
C9JY00	ENSG00000144908.14
E5RJB9	ENSG00000070756
F5GZ45	ENSG00000165457.15
H0YDJ9	ENSG00000110651.13
H0YGH8	ENSG00000110841.14
H0YKY5	ENSG00000054690.14
H0YNB8	ENSG00000182718.18
I3L1N8	ENSG00000124067.17
I3L3I2	ENSG00000169347.17
Q5JTM7	ENSG00000185585.20
R4GNF4	ENSG00000165644.11
U3KPY4	ENSG00000182087.14
E5RID0	ENSG00000147488.13
E5RIM1	ENSG00000156831.8
H0YA19	ENSG00000196104.11
H0YE10	ENSG00000139974.17
H0YKW5	ENSG00000166920.13
I3L122	ENSG00000167858.13
I3L3S2	ENSG00000122299.12
I3L417	ENSG00000122386.11
A0A087WU10	ENSG00000048162.22
A0A087WVZ5	ENSG00000273749.5
A0A087WWN1	ENSG00000151773.13
A0A087WZJ6	ENSG00000136104.22
A0A087WZQ3	ENSG00000172785.19
D6R993	ENSG00000214367.10
E5RK01	ENSG00000170271.11
I3L0A5	ENSG00000134532.20
R4GMT0	ENSG00000138107.13
E5RFU8	ENSG00000143702.17
E5RJR4	ENSG00000164611.13
F5H2M4	ENSG00000213096.11
H7BZF0	ENSG00000197375.14
H7C0S7	ENSG00000173744.18
R4GN73	ENSG00000185046.21
V9GYN4	ENSG00000116922.15
A0A087WTH4	ENSG00000263956.8
E5RG49	ENSG00000047249.18
E5RGE7	ENSG00000184428.13
H7BZ79	ENSG00000088387.22
H7C0E5	ENSG00000109917.11
H7C123	ENSG00000147403.18
F8VQQ3	ENSG00000139637.14
A0A8V8TNA7	ENSG00000145349.20
A0A8V8TPC1	ENSG00000225190.12
A0A994J3S8	ENSG00000115419.14
A0A994J4Y4	ENSG00000015171.21
A0A994J550	ENSG00000087111.22
A0A994J505	ENSG00000213066.14
A0A9L9PXD9	ENSG00000140092.16
A0A8I5KUB5	ENSG00000133703.14
A0A8I5KV92	ENSG00000075151.24
A0A8I5KXC8	ENSG00000163913.14
A0A5F9ZI23	ENSG00000112294.14
A0AAQ5BHX1	ENSG00000166888.13
A0A5F9ZA98	ENSG00000131269.19
A0A5F9ZHB6	ENSG00000198056.16
A0A5F9ZI24	ENSG00000189045.15
A0A5H1ZRP7	ENSG00000198947.18
A0A3B3ISR4	ENSG00000150995.21
A0A8V8TNF1	ENSG00000081087.16
A0A7I2V4B8	ENSG00000092108.22
A0A9L9PXZ7	ENSG00000126001.17
A0A8I5KR97	ENSG00000147316.15
A0A8I5KY61	ENSG00000100241.22
A0A804HI14	ENSG00000138095.20
A0A804HJ77	ENSG00000055609.21
A0A804HK53	ENSG00000104884.17
A0A804HKC6	ENSG00000135317.14
A0A804HKG2	ENSG00000151348.16
A0A8Q3SID6	ENSG00000106804.10
A0A8Q3WLR7	ENSG00000173230.17
A0A8V8TLJ3	ENSG00000132664.13
A0A8V8TLV3	ENSG00000108604.18
A0A8V8TLZ1	ENSG00000170074.21
A0A8V8TM35	ENSG00000015285.12
A0A8V8TNX6	ENSG00000122512.17
A0A8V8TNY8	ENSG00000122512.17
A0A7P0TB53	ENSG00000081248.13
A0A7P0Z4C4	ENSG00000256043.5
A0A7P0Z4I5	ENSG00000256043.5
A0A5F9ZHM4	ENSG00000111716.14
A0A804HKS2	ENSG00000130714.19
A0A6Q8PF15	ENSG00000134684.13
A0A494C0L3	ENSG00000025708.14
A0A494C1F7	ENSG00000131778.20
A0A6Q8PFU7	ENSG00000106105.15
A0A994J425	ENSG00000120251.22
A0A994J7Z5	ENSG00000106069.26
A0A669KB19	ENSG00000145362.21
A0A8I5KUS5	ENSG00000103363.16
A0A5S8K7D6	ENSG00000206306.10
A0AAQ5BGK5	ENSG00000159251.10
A0A5F9ZH86	ENSG00000131018.25
A0A5F9Z6M3	ENSG00000157388.20
A0A5F9ZHF9	ENSG00000112541.19
A0AAQ5BI43	ENSG00000165699.16
A0AAQ5BI70	ENSG00000145901.17
A0A590UJK9	ENSG00000108641.20
A0A0B4J204	ENSG00000050628.21
D6RA37	ENSG00000104723.21
D6RBT1	ENSG00000205302.7
D6RC07	ENSG00000124279.12
D6RER4	ENSG00000152990.14
D6RF16	ENSG00000178950.18
D6RIX5	ENSG00000164124.11
F8W7T7	ENSG00000197857.16
F8WD83	ENSG00000169519.21
F8WEP8	ENSG00000153560.12
B1AQT4	ENSG00000143228.13
Q5SRN1	ENSG00000168438.15
Q5T0R7	ENSG00000131236.18
Q5VU11	ENSG00000148688.14
B5MC28	ENSG00000213626.13
B5MC98	ENSG00000138073.14
J3QRD8	ENSG00000141627.14
A0A1B0GVF9	ENSG00000111961.19
A0A1B0GVN4	ENSG00000147862.18
E7EMH4	ENSG00000021461.18
E7ESV9	ENSG00000150048.10
E7EUS2	ENSG00000168491.10
E7EWP2	ENSG00000038382.23
E7EX21	ENSG00000197467.17
H7BZX2	ENSG00000162600.12
H7C261	ENSG00000186472.20
H7C3B4	ENSG00000183527.12
C9J293	ENSG00000157578.14
C9JCI7	ENSG00000288635.1
C9JE51	ENSG00000145012.15
C9JSH4	ENSG00000114439.19
E7ESW5	ENSG00000107863.20
C9J0S9	ENSG00000144381
C9J5M4	ENSG00000115363.14
C9J9V9	ENSG00000114745.15
C9JAS9	ENSG00000188674.11
C9JD58	ENSG00000095787.26
C9JE06	ENSG00000188313.13
C9JLI4	ENSG00000144278.15
C9JVK6	ENSG00000095787
C9JXP0	ENSG00000086730.17
C9J337	ENSG00000018408.15
C9JCU6	ENSG00000168067.12
A0A6Q8PH26	ENSG00000153944.12
A0AA75IMJ6	ENSG00000153094.26
A0A8C8KJZ9	ENSG00000160202.7
A0A8I5KQP9	ENSG00000116754.14
A0A8I5KUW5	ENSG00000167110.19
A0A8I5KWW8	ENSG00000113719.17
A0A8I5KXC3	ENSG00000155363.19
A0A8I5KZ46	ENSG00000100350.16
A0A8I5QKW7	ENSG00000144741.19
A0A804HIH6	ENSG00000164418.22
A0A804HLC2	ENSG00000172071.15
A0A8Q3SII5	ENSG00000183054.13
A0A8Q3WLU6	ENSG00000117335.21
A0A7P0T8I7	ENSG00000154743.19
A0A7P0TB84	ENSG00000159063.14
A0A7P0Z463	ENSG00000169604.21
E9PJF4	ENSG00000074201.9
E9PMQ3	ENSG00000162300.13
E9PRD4	ENSG00000101473.17
A0A0A0MQU1	ENSG00000203485.14
E9PEI5	ENSG00000128536.16
E9PID1	ENSG00000100453.14
E9PM09	ENSG00000163468.15
E9PRB4	ENSG00000185238.13
E9PRD1	ENSG00000107593.17
G3V3U9	ENSG00000179008.9
G3V592	ENSG00000080824.19
G3V5E8	ENSG00000054983.17
F5GZ38	ENSG00000021300.14
A0A0A0MRJ7	ENSG00000198734.12
A0A0A0MRR1	ENSG00000164011.18
A0A0A0MRX0	ENSG00000170545.17
A0A0A0MSE6	ENSG00000156113.25
F5H0D6	ENSG00000126746.19
F5H1S4	ENSG00000155957.19
F5H2R5	ENSG00000111348.9
F5H329	ENSG00000180287.17
F5H6N4	ENSG00000111642.16
J3QT73	ENSG00000144524.18
Q5JR06	ENSG00000155366.17
A8MX29	ENSG00000174996.12
E5RGT4	ENSG00000120903.13
E5RIU8	ENSG00000197043.15
H0Y785	ENSG00000131503.21
H0Y9R7	ENSG00000164292.13
H0Y9Z6	ENSG00000145147.20
H0YD63	ENSG00000149582.16
H0YD93	ENSG00000204130.14
H0YD99	ENSG00000110321.19
H0YEZ6	ENSG00000184956.16
H0YFY9	ENSG00000003056.8
H0YGF8	ENSG00000161714.12
H0YGT4	ENSG00000166037.11
H0YKW3	ENSG00000134152.11
I3L1I9	ENSG00000189067.14
I3L3F1	ENSG00000141527.19
I3L3W4	ENSG00000108798.9
R4GN83	ENSG00000172270
E5RJ01	ENSG00000205710.4
H0YEQ8	ENSG00000090621.15
H0YJR0	ENSG00000198208.12
I3L318	ENSG00000132361.18
I3L3Q2	ENSG00000132530.17
A0A087WWK4	ENSG00000178104.22
A0A087WXR5	ENSG00000128609.16
M0QZ90	ENSG00000142534.7
E5RG12	ENSG00000131773.15
H7BZA2	ENSG00000135931.19
H7BZK0	ENSG00000163681.17
H7C3U2	ENSG00000167311.14
V9GYT3	ENSG00000159216.20
H7C3W3	ENSG00000144218.21
D6R9T9	ENSG00000168538.16
D6RBH2	ENSG00000109339.24
D6RER2	ENSG00000145526.12
D6RFF4	ENSG00000205208.5
F8WDV0	ENSG00000086200.17
D6RBW6	ENSG00000039560.14
D6RF68	ENSG00000174125.8
D6RFW2	ENSG00000174607.12
J3QR11	ENSG00000177508.12
J3QSF6	ENSG00000108395.14
Q5T118	ENSG00000158062.21
A0A8Q3WKW4	ENSG00000196839.14
A0A994J419	ENSG00000077782.23
A0A994J4J5	ENSG00000179950.15
A0A994J5P6	ENSG00000151789.13
A0A994J5R8	ENSG00000198453.15
A0A994J6E8	ENSG00000174231.18
A0A994J752	ENSG00000153827.15
A0A669KB37	ENSG00000232070.9
A0A669KB72	ENSG00000290292.10
A0A075B731	ENSG00000185716.12
F8VR82	ENSG00000186298.12
F8VX66	ENSG00000123352.18
A0A075B725	ENSG00000261456.6
F8VSN5	ENSG00000111785.21
F8VUF6	ENSG00000011465.18
M0R103	ENSG00000104941.8
M0R1G8	ENSG00000133250.14
M0R3J1	ENSG00000105388.17
M0QXL9	ENSG00000126460.11
M0QYM3	ENSG00000267796.8
M0QZ57	ENSG00000119574.13
M0R0B8	ENSG00000182264.9
M0R256	ENSG00000268434.5
H3BM38	ENSG00000092531.10
H3BMP1	ENSG00000197912.16
H3BPH1	ENSG00000162062.15
H3BQQ8	ENSG00000167515.11
H3BRX6	ENSG00000117226.12
H3BS53	ENSG00000137845.15
H3BSC5	ENSG00000005189.20
H3BSC9	ENSG00000140506.17
H3BVF5	ENSG00000166140.17
M0R358	ENSG00000170954.12
E5RHM7	ENSG00000129696.13
H3BTR8	ENSG00000197912.16
H3BTS9	ENSG00000197006.15
S4R322	ENSG00000198707.17
F2Z337	ENSG00000198125.13
H3BUG1	ENSG00000178802.18
J3KRW3	ENSG00000258890.8
K7EIG8	ENSG00000125753.15
K7EJQ0	ENSG00000069812.11
K7EKB6	ENSG00000172009.15
K7EKE8	ENSG00000130202.10
K7EMV4	ENSG00000130165.11
K7ENR7	ENSG00000125753.15
K7EPG6	ENSG00000132376.20
K7EPT8	ENSG00000131095.14
K7EQ95	ENSG00000141837.23
K7EQ96	ENSG00000141622.14
K7ES67	ENSG00000152240.13
K7ES76	ENSG00000258315.5
U3KPU4	ENSG00000135968.22
J3QR35	ENSG00000169689.15
E7EW33	ENSG00000055163.21
Q5T6A0	ENSG00000183137.16
A0A1B0GTV7	ENSG00000102805.16
A0A1B0GU58	ENSG00000175198.17
A0A1B0GVB2	ENSG00000182389.20
A0A1B0GW07	ENSG00000143614.11
A0A1B0GW63	ENSG00000182389.20
A0A1B0GW82	ENSG00000164904.18
E7ESJ2	ENSG00000196689.13
E7EV14	ENSG00000130844.19
H7C253	ENSG00000155313.16
V9GZ48	ENSG00000178252.19
B0QYA8	ENSG00000100353.18
C9J255	ENSG00000144591.20
C9J9N2	ENSG00000116016.14
C9JJU6	ENSG00000164828.18
C9JMC9	ENSG00000068745.15
C9JVS0	ENSG00000161217.12
C9JX71	ENSG00000189058.9
F5H3K6	ENSG00000066336.13
C9J8C4	ENSG00000082438.18
C9JAD7	ENSG00000102606.20
C9JCI8	ENSG00000115966.18
C9JCK8	ENSG00000136273.13
C9JLT6	ENSG00000115290.11
C9JQV0	ENSG00000146540.15
C9JRM2	ENSG00000214021.19
C9JWX4	ENSG00000162607.13
C9JYQ6	ENSG00000114416.19
E9PJN4	ENSG00000137672.13
B9A031	ENSG00000140264.22
E9PC84	ENSG00000041982.17
E9PEA7	ENSG00000144681.11
E9PK82	ENSG00000149273.15
E9PKJ8	ENSG00000187098.18
E9PKU4	ENSG00000161016.18
E9PKW4	ENSG00000197165.11
E9PMN3	ENSG00000166387.14
E9PNZ3	ENSG00000149091.15
E9PP55	ENSG00000120925.16
E9PQZ0	ENSG00000177830.18
E9PRN0	ENSG00000163468.15
G3V2R5	ENSG00000125952.21
G3V4L8	ENSG00000126777.18
X6R8I9	ENSG00000181634.8
E9PI60	ENSG00000096070.19
H0Y562	ENSG00000119383.21
H0Y5T1	ENSG00000074054.21
H0YBD6	ENSG00000135749.20
H0YIZ5	ENSG00000100558.9
H0YLY3	ENSG00000090661.12
A0A0A0MRU3	ENSG00000107242.20
F5H4X2	ENSG00000256269.11
F5H7V9	ENSG00000041982.17
F5H8H3	ENSG00000214530.10
H0Y5U0	ENSG00000175198.17
H0YBG4	ENSG00000135299.18
Q5T0S4	ENSG00000131238.18
A0A6Q8PG52	ENSG00000075785.14
A0A8I5KR07	ENSG00000163913.14
A0A8I5KRB0	ENSG00000164972.14
A0A8I5KRM2	ENSG00000145703.17
A0A8I5KU95	ENSG00000167548.18
A0A8I5KUU6	ENSG00000100241.22
A0A804HJZ6	ENSG00000154153.15
A0A804HK77	ENSG00000109501.15
A0A804HKC1	ENSG00000144426.19
A0A804HKH6	ENSG00000135317.14
A0A8Q3SHF1	ENSG00000174720.18
A0A8Q3WKM2	ENSG00000139496.18
A0A8Q3WKW1	ENSG00000117335.21
A0A0U1RR26	ENSG00000080503.25
A0A0G2JMB6	ENSG00000278173.4
A0A0G2JMR1	ENSG00000273991.4
A0A0G2JPA9	ENSG00000275730.4
A0A0G2JQ95	ENSG00000262860.5
A0A0J9YW81	ENSG00000080709.17
A0A0J9YWE9	ENSG00000276072.2
C9JG62	ENSG00000086288.12
F5GXJ8	ENSG00000013573.17
B0QZ55	ENSG00000163374.21
B1AKI2	ENSG00000076770.16
H0Y8N1	ENSG00000167107.13
H0YA69	ENSG00000189409.14
H0YGK8	ENSG00000196498.15
H0YGS4	ENSG00000111206.13
H0YJR4	ENSG00000169291.10
H0YM68	ENSG00000185033.15
I3L0R8	ENSG00000072849.11
I3L375	ENSG00000154975.14
I3L496	ENSG00000186532.12
B0QYD3	ENSG00000179750.16
B1AQK6	ENSG00000148408.15
E5RFF9	ENSG00000147536.12
E5RIF5	ENSG00000165061.15
H0Y382	ENSG00000156113.25
H0Y4W0	ENSG00000148444.16
H0Y7L4	ENSG00000187017.18
H0Y7S1	ENSG00000124143.11
H0YA52	ENSG00000132570.15
H0YBR9	ENSG00000028310.18
H0YEW1	ENSG00000154237.13
H0YJT7	ENSG00000151320.11
H0YKC7	ENSG00000150051.14
H0YMH6	ENSG00000181827.16
I3L182	ENSG00000167978.19
I3L2S4	ENSG00000127564.17
I3L3H4	ENSG00000141556.22
I3L3Z2	ENSG00000183011.14
R4GMY2	ENSG00000088833.18
A0A087WY29	ENSG00000102081.16
A0A087WY77	ENSG00000103175.11
A0A087X102	ENSG00000183765.24
R4GN42	ENSG00000100711.14
D6RCR8	ENSG00000080822.17
E5RGS7	ENSG00000248235.6
D3YTJ5	ENSG00000115459.18
E5RGY6	ENSG00000044115.21
H7BZT0	ENSG00000128284.20
H7C0L6	ENSG00000163531.17
A0A075B7E2	ENSG00000270806.2
E9PGZ6	ENSG00000137869.16
F8VRQ0	ENSG00000184613.11
F8VW19	ENSG00000123411.15
F8VZV1	ENSG00000061987.16
F8W057	ENSG00000075089.10
M0R1F0	ENSG00000142515.16
M0R284	ENSG00000090971.5
M0R3F1	ENSG00000105323.18
D6R9D5	ENSG00000127415.13
D6RB46	ENSG00000145428.15
D6RE83	ENSG00000154277.13
A0A8V8TKK6	ENSG00000142687.19
A0A8V8TPC8	ENSG00000116044.17
A0A8V8TPF2	ENSG00000092847.14
A0A8V8TPV8	ENSG00000135341.19
A0A994J504	ENSG00000104427.13
A0A994J5D7	ENSG00000197858.12
A0A994J774	ENSG00000119396.12
H3BMG8	ENSG00000135702.15
H3BMQ8	ENSG00000149925.22
H3BN62	ENSG00000050820.17
H3BQ61	ENSG00000140386.13
H3BTI6	ENSG00000067365.15
H3BTW1	ENSG00000185164.15
J3KN48	ENSG00000113732.9
H3BNV7	ENSG00000166595.12
H3BQI3	ENSG00000188501.12
H3BRN7	ENSG00000260007.3
H3BUN0	ENSG00000122257.20
S4R319	ENSG00000156026.15
S4R3D1	ENSG00000135093.13
V9GYS5	ENSG00000111906.18
A6NGX6	ENSG00000121851.13
M0R2J2	ENSG00000062822
A0A1B0GXI2	ENSG00000181666.19
J3KPJ0	ENSG00000167741.11
J3KQ26	ENSG00000140691.18
J3KRB6	ENSG00000010244.19
J3KRC0	ENSG00000125450.11
J3KT19	ENSG00000103194.16
J3KT26	ENSG00000169598.17
K7EIN5	ENSG00000087903.13
K7EJD6	ENSG00000129667.13
K7EL48	ENSG00000197256.11
K7EMN6	ENSG00000062716.13
K7ENZ2	ENSG00000087152.16
K7EPN7	ENSG00000127452.9
K7EQU6	ENSG00000152234.16
K7ERG6	ENSG00000175322.12
A0A0C4DH18	ENSG00000182196
A0A0C4DG47	ENSG00000157557.13
A0A0C4DG78	ENSG00000121413.13
F8WB01	ENSG00000153558.17
F8WBZ6	ENSG00000144580.15
F8WC97	ENSG00000157800.18
F8WD88	ENSG00000115163.15
B1AKJ3	ENSG00000049089.15
D6R971	ENSG00000164306.11
D6RDX5	ENSG00000120251.22
F8WCV1	ENSG00000123485.12
F8WDD5	ENSG00000180353.11
J3QQJ8	ENSG00000072134.16
Q5JW84	ENSG00000174156.15
E7ENM0	ENSG00000049540.19
J3QKR9	ENSG00000131242.18
J3QQU0	ENSG00000154059.11
J3QSG7	ENSG00000177728.17
A0A1B0GTD0	ENSG00000165702.15
A0A1B0GU53	ENSG00000182389.20
A0A1B0GVN2	ENSG00000283515.1
E7EPY9	ENSG00000171189.18
E7ERH2	ENSG00000113558.19
H7C288	ENSG00000168014
H7C396	ENSG00000106077.19
R4GN67	ENSG00000185305.12
C9J0T6	ENSG00000124839.13
C9J600	ENSG00000065328.17
C9J6A7	ENSG00000197713.15
H7C2E0	ENSG00000119227.8
A0A0A0MR72	ENSG00000183495.15
C9J205	ENSG00000077782.23
C9J932	ENSG00000114209.15
C9JEJ2	ENSG00000161217.12
C9JJU3	ENSG00000137948.19
E9PGI3	ENSG00000138785.16
G3V4B9	ENSG00000129514.8
B9A037	ENSG00000152147.11
E9PDL4	ENSG00000003147.19
E9PEK3	ENSG00000116698.22
E9PK14	ENSG00000120341.19
E9PL52	ENSG00000129158.11
E9PNF3	ENSG00000149313.11
E9PRA4	ENSG00000143195.13
E9PSI3	ENSG00000030066.14
G3V528	ENSG00000198133
E9PP97	ENSG00000147434.9
H0Y5I5	ENSG00000143373.18
H0Y6A0	ENSG00000242247.11
H0YAY5	ENSG00000173818.17
H0YAZ0	ENSG00000165102.15
H0YBI3	ENSG00000185842.16
H0YBQ0	ENSG00000197763
H0YGS3	ENSG00000197614.11
H0YHM6	ENSG00000164904.18
H0YIK6	ENSG00000136021.19
A0A1C7CYY3	ENSG00000068615.20
A0A0U1RQF0	ENSG00000169710.9
A0A0U1RR50	ENSG00000165795.25
A0A0G2JLE8	ENSG00000262795.5
A0A0A0MT21	ENSG00000176083.18
F5GYE0	ENSG00000182450.14
F5GZI4	ENSG00000183735.11
F5GZS4	ENSG00000185504.17
F5H0S5	ENSG00000123094.16
F5H6V0	ENSG00000110906.13
H0YBE8	ENSG00000113645.15
H0YIQ8	ENSG00000139620.13
A0A0A0MRM9	ENSG00000166197.17
F5H0U2	ENSG00000168014.18
H0YLF9	ENSG00000156958.15
H0YLZ2	ENSG00000185634.12
H0YMH5	ENSG00000128463.13
I3L2H8	ENSG00000132382.15
Q5T9Q8	ENSG00000136143.16
A6ZJ82	ENSG00000185666.16
E5RIU4	ENSG00000102225.17
H0Y837	ENSG00000126883.19
H0Y8A1	ENSG00000197993.9
H0Y8B9	ENSG00000112812.16
H0Y9S4	ENSG00000172493.23
H0YED3	ENSG00000126883.19
H0YGP9	ENSG00000111011.18
H0YMC6	ENSG00000166173.11
H0YNI6	ENSG00000157823.17
H3BMP4	ENSG00000140995.17
I3L2V5	ENSG00000141837.23
I3L3A9	ENSG00000070366.14
I3L3E0	ENSG00000169344.16
R4GNJ0	ENSG00000185046.21
A0A087WSZ8	ENSG00000219200.12
A0A087WTT9	ENSG00000101901.13
A0A087WUD2	ENSG00000111859.17
A0A087WYL3	ENSG00000112706.12
A8MVZ9	ENSG00000109107.14
H0Y6X2	ENSG00000116809.12
H0Y7Z4	ENSG00000080298.16
J3QSZ2	ENSG00000141505.12
Q5QPI7	ENSG00000197586.13
E5RJP3	ENSG00000106346.12
H7C114	ENSG00000186472.20
H7C126	ENSG00000198130.16
D6RAT1	ENSG00000169744.13
H7C144	ENSG00000130402.14
H7C1C3	ENSG00000204311.15
S4R3V7	ENSG00000271092.5
V9GY72	ENSG00000159214.13
D6RAV6	ENSG00000151881.15
D6RB60	ENSG00000131127.14
D6RDU8	ENSG00000164323.15
F8W6C1	ENSG00000115306.17
F8WD86	ENSG00000117834.13
F8WDI0	ENSG00000144848.11
A0A1W2PQG9	ENSG00000283954.1
A0A1W2PR06	ENSG00000003989.18
A0A286YEW6	ENSG00000164073.11
E5RHW3	ENSG00000171045.16
M0QZD8	ENSG00000188897.10
M0R246	ENSG00000213762.12
M0R2H6	ENSG00000169169.15
M0R0I3	ENSG00000141985.9
M0R0S5	ENSG00000183019.8
M0R279	ENSG00000176678.6
A6NEL0	ENSG00000205581.11
E9PG22	ENSG00000182504.12
H3BPG6	ENSG00000167962.15
H3BRZ1	ENSG00000167508.12
H3BVF1	ENSG00000103194.16
J3KNE6	ENSG00000160741.17
F2Z2C0	ENSG00000083520.15
H3BU80	ENSG00000169715.15
K7EKW6	ENSG00000171302.17
K7EPC9	ENSG00000184451.5
K7ERE3	ENSG00000171401.15
K7ES09	ENSG00000160505.16
A0A0G2JLL1	ENSG00000206342.12
F2Z2M2	ENSG00000106785.15
H3BUP6	ENSG00000039523.20
K7EJV5	ENSG00000099622.14
D6RAE8	ENSG00000082074.19
D6RFI1	ENSG00000113758.14
D6RHH0	ENSG00000108848.16
F8W8T0	ENSG00000104447.13
F8W9Y9	ENSG00000182979.18
F8WB07	ENSG00000114988.12
F8WEA4	ENSG00000185760.18
Q5TDE6	ENSG00000126106.14
A0A096LP78	ENSG00000160401.15
J3QLU5	ENSG00000082397.18
Q5QPM3	ENSG00000125895
A0A0A6YYD6	ENSG00000175470.20
B5MBY8	ENSG00000177994.16
J3QLV4	ENSG00000073350.14
J3QR79	ENSG00000059769.20
J3QRS2	ENSG00000006744.19
J3QRU8	ENSG00000108262.16
J3QRV5	ENSG00000073350.14
Q5JUL1	ENSG00000158639.13
A0A1B0GV40	ENSG00000170324.21
A0A1B0GWJ7	ENSG00000283208.2
E7ES19	ENSG00000113296.14
E7ES33	ENSG00000122545.22
H7C3Z0	ENSG00000115657.14
H7C4V1	ENSG00000163424.9
H7C571	ENSG00000206538.9
C9JPP7	ENSG00000162598.13
H7C0A7	ENSG00000157985.20
H7C4F0	ENSG00000153283.13
C9J3H3	ENSG00000169884.14
C9JC20	ENSG00000213672.8
C9JDF0	ENSG00000100023.20
C9JFR9	ENSG00000180432.6
C9JU35	ENSG00000113845.10
C9JYE9	ENSG00000133740.11
A0A0A6YYI9	ENSG00000248643
C9J6V3	ENSG00000149499.12
C9JEB6	ENSG00000061273.18
E9PMB7	ENSG00000174483.20
E9PME1	ENSG00000166444.19
E9PRB0	ENSG00000172367.16
E9PSB1	ENSG00000152558.15
E9PSB3	ENSG00000149100.13
G3V265	ENSG00000188488.14
G3V587	ENSG00000166866.13
B7ZBA4	ENSG00000178199.14
B8ZZC8	ENSG00000138382.15
E7EW60	ENSG00000138399.18
E9PCE7	ENSG00000182670.14
E9PIC8	ENSG00000110148.10
E9PKJ2	ENSG00000110080.20
E9PMK6	ENSG00000086205.18
G3V3W0	ENSG00000100802.15
H0Y4V6	ENSG00000183765.24
H0YE38	ENSG00000142621.21
H0YLI3	ENSG00000140332.18
X6RBN4	ENSG00000160446.19
A0A0D9SEK1	ENSG00000196628.20
A0A0D9SEU0	ENSG00000173575.24
A0A0D9SFB1	ENSG00000106976.22
A0A0D9SG78	ENSG00000196628.20
A0A0D9SGJ8	ENSG00000160953.17
A0A0U1RR31	ENSG00000169118.18
A0A0G2JNH9	ENSG00000276342.4
A0A0G2JNR3	ENSG00000277807.5
A0A0J9YVR3	ENSG00000126545.14
A0A0J9YX89	ENSG00000183291.18
A0A804HL45	ENSG00000102174.10
A0A494C145	ENSG00000174456.16
A0A494C1B3	ENSG00000091536.20
A0A2R8Y4B9	ENSG00000111913.20
A0A2R8Y840	ENSG00000100888.15
A0A2R8Y8C6	ENSG00000158321.19
A0A2R8YDE9	ENSG00000006071.16
A0A2R8YDI6	ENSG00000131951.12
A0A2R8YFV2	ENSG00000011451.21
A0A2U3TZJ5	ENSG00000119866.22
A0A2U3TZR1	ENSG00000284800.2
A0A1W2PPM7	ENSG00000177301.16
A0A1W2PQ30	ENSG00000023171.20
A0A1W2PQ68	ENSG00000110274.16
A0A1W2PS40	ENSG00000175193.14
A0A1W2PSD3	ENSG00000156113.25
A0A140T8X6	ENSG00000206402.10
A0A140T9R6	ENSG00000231286.7
A0A5F9ZH13	ENSG00000118096.10
A0A5F9ZI44	ENSG00000061938.21
A0AAQ5BH08	ENSG00000221838.12
A0AAQ5BHR6	ENSG00000164078.15
A0A590UJW6	ENSG00000140948.13
A0A3B3IT82	ENSG00000197299.13
A0A3B3IU01	ENSG00000147099.21
A0A8V8TM62	ENSG00000171608.18
A0A8V8TM81	ENSG00000124299.16
A0A7I2V2L9	ENSG00000142541.18
A0A7I2V3N6	ENSG00000185359.14
A0A7I2V4H7	ENSG00000122966.18
A0A7I2V4V2	ENSG00000106571.15
A0A7I2YQM9	ENSG00000185359.14
A0A7I2YQV8	ENSG00000135316.20
A0A7P0T820	ENSG00000114853.15
A0A7P0T934	ENSG00000197102.14
A0A7P0T9T4	ENSG00000075702.19
A0A7P0TB00	ENSG00000188906.17
A0A7P0TBN9	ENSG00000166483.12
A0A804HHU4	ENSG00000182923.20
A0A804HIG1	ENSG00000132170.24
A0A2R8Y653	ENSG00000143179.16
A0A2R8Y7I9	ENSG00000073584.20
A0A2R8Y7U1	ENSG00000166340.18
A0A2R8YF94	ENSG00000060709.17
A0A1W2PQT4	ENSG00000120071.15
A0A0A0MRF6	ENSG00000127914.19
A8MTF7	ENSG00000184863.11
F6VI00	ENSG00000119673.16
H0Y864	ENSG00000198947.18
H0Y8H1	ENSG00000109220.11
H0Y8V5	ENSG00000159363.19
H0YEG2	ENSG00000149091.15
H0YGA6	ENSG00000124257.7
I3L1Y4	ENSG00000171490.13
I3L2J5	ENSG00000067365.15
I3L4K7	ENSG00000108559.13
I3NI23	ENSG00000011638.11
Q5TDI7	ENSG00000135801.11
A0A087WYY7	ENSG00000160336.17
A0A087X287	ENSG00000196588.21
H0YA84	ENSG00000112983.18
H0YBF2	ENSG00000132561.14
